"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"21","1040301515","Шайба","А","54","GB/T97.1-2002"
"22","1040302489","Шайба","B","24","GB/T97.1-2002"
"25","1040200503","Гайка","А","13","GB/T889.1-2000"
"26","1040300771","Шайба","А","18","GB/T97.1-2002"
"27","1040004517","Болт","А","28","JB/T5783-2000"
"28","02561900302800000","Подвижный трубный хомут","А","2",""
"46","1040004520","Болт","А","10","JB/T5783-2000"
"47","1040002434","Болт","А","20","JB/T5783-2016"
"48","1040007303","Болт","А","2","JB/T5782-2016"
"49","1040303580","Шайба","А","18","GB/T96.1-2002"
"50","02562700700401020","Кронштейн цепи","А","6",""
"51","1040004519","Болт","А","6","JB/T5783-2000"
"52","1040005844","Болт","А","4","JB/T5783-2000"
"53","02562700300811020","Большой каток","А","2",""
"54","02562700300811010","Держатель катка","B","2",""
"55","00774000300801041","Упорная труба I","А","2",""
"56","1040302490","Шайба","B","6","GB/T97.1-2002"
"57","00773700400001520","Стержень винта I","А","2",""
"58","1040200507","Гайка","А","2","GB/T889.1-2000"
"59","1040002738","Болт","А","8","JB/T5783-2000"
"60","02562700311210000","Узлы ползуна","А","2",""
"61","02562700311201010","Панель заглушки","А","1",""
"62","02562700300001030","Панель заглушки основной 
стрелы","А","2",""
"63","02562700311201080","Регулировочная шайба  Ⅴ","А","12",""
"64","02562700311420000","Узлы ползуна","А","2",""
"65","02562700311220000","Узлы ползуна","А","4",""
"66","00771400340001091","Капот датчика","B","1",""
"67","02561900300001041","Зажимная планка трубопровода","А","1",""
"68","02561900300001020","Трубный зажим I","А","1",""
"69","02561900300001030","Трубный зажим II","А","1",""
"70","02561900300001080","Держатель трубного зажима","А","1",""
