"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"71","02562700311401030","Монтажная планка","А","1",""
"72","1040302489","Шайба","B","9","GB/T97.1-2002"
"73","1040004032","Болт","А","3","JB/T5783-2000"
"74","1040004519","Болт","А","12","JB/T5783-2000"
"75","1040301515","Шайба","А","18","GB/T97.1-2002"
"76","00771100301601061","Регулировочная шайба","B","4",""
"77","1040004517","Болт","А","6","JB/T5783-2000"
"78","1040000574","Болт","B","6","JB/T5783-2016"
"79","00771100301601071","Регулировочная шайба","B","2",""
"80","02562700311410000","Узлы ползуна","А","2",""
"81","00773400300001140","Регулировочная шайба  Ⅴ","C","8",""
"82","02562700311220000","Узлы ползуна","А","4",""
"83","02562700311420000","Узлы ползуна","А","2",""
