"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00774007130201030","Гнутая пластина  Ⅲ","А","1",""
"2","02562307140201040","Изогнутая пластинка  Ⅳ","А","1",""
"3","1040302490","Шайба","B","8","GB/T97.1-2002"
"4","1040002273","Болт","B","8","JB/T5786-2000"
"5","1030400480","Пружинная муфта в сборе","B","1","714368--1"
"6","1040101692","Болт","B","8","JB/T5786-2000"
"7","1040101492","Винт","А","9",""
"8","00771407140201070","Крышка муфты","А","1",""
"9","00771107180210000","Установка коробки управления","А","1",""
"10","00771107180220000","Установка двигателя","B","1",""
"11","02562700800600001","Кронштейн двигателя","А","1",""
"12","1040200161","Гайка","А","4","JB/T889-1986"
"13","00773407100201050","Подкладка","А","4",""
"14","02562307140201010","Гнутая пластина I","А","1",""
"15","1009900942","Амортизатор двигателя","А","8","07Y-03-10000A- 
1150"
"16","00774007130201020","Гнутая пластина  Ⅱ","А","1",""
"17","1040005849","Болт","А","8","JB/T5786-2000"
"18","1040301021","Шайба","B","8","GB/T97.1-2002"
"19","1040302492","Шайба","B","4","GB/T97.1-2002"
"20","1040003912","Болт","А","4","JB/T5783-2000"
"21","1000001500","Дизельный двигатель","А","1","V3307-DI-TE3B- 
LGL2-1"
