"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"10","1040302489","Шайба","B","64","GB/T97.1-2002"
"13","1040005831","Болт","А","24","JB/T5789-1986"
"20","00773400400001250","Стопорный штифт","E","12",""
"38","02552502800001120","Позиционирующий стержень","B","4",""
"39","1040104093","Винт","А","12","GB/T70.3-2000"
"40","02562702800600001","Сварная деталь скобы для 
проверки","А","4",""
"41","02552502800001041","Монтажная подставка датчика","А","4",""
"42","02562702800001280","Перегородка","А","4",""
"43","02562702800001270","Скоба  Ⅰ","А","4",""
"44","1040102138","Винт","А","12","GB/T70.1-2000"
"45","1040301033","Шайба","B","27","GB/T97.1-2002"
"46","02562702800401020","Установочная плита штифта","А","4",""
"47","02562702800401010","Штифт I","А","4",""
"48","00772702800001110","Прокладка I","А","4",""
"49","00772702800001130","Подшипник, не требующий 
смазывания I","B","8",""
"50","02562702800001090","Крышка","А","4",""
"51","1040007293","Болт","А","15","JB/T5782-2016"
"52","00772702800001170","Подшипник, не требующий 
смазки II","А","16",""
"53","00772702800001181","Прокладочное кольцо I","А","4",""
"54","00772702800001040","Штифт IV","B","4",""
"55","1040002446","Болт","А","8","JB/T5783-2000"
"56","02562702801200000","Цилиндр выдвижения и 
втягивания выносной опоры","А","4",""
"57","00772702800001060","Штифт V","B","4",""
"58","00772702800001191","Прокладочное кольцо II","А","4",""
"59","02562702800100001","Сварная деталь шасси","B","1",""
"60","00772702800001150","Уплотнительная пластина I","А","2",""
"61","02562702800001051","Триггерная планка путевого 
выключателя  Ⅰ","А","1",""
"62","1040004604","Болт","А","4","JB/T16674-2004"
