"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"67","1040300771","Шайба","А","10","GB/T97.1-2002"
"68","1040004601","Болт","А","10","JB/T5782-2000"
"69","1040201896","Гайка","А","10","GB/T889.1-2015"
"70","00774100400001181","Вкладыш","А","10",""
"71","1040004033","Болт","А","20","JB/T5783-2000"
"72","1040302489","Шайба","B","36","GB/T97.1-2002"
"73","00774100400001121","Длинная регулировочная шайба 
I","А","4",""
"74","02562700401830000","Узлы заднего верхнего ползуна","А","8",""
"75","02562700401820000","Узлы бокового ползуна","А","4",""
"76","1040004032","Болт","А","12","JB/T5783-2000"
"77","02562700401801010","Регулировочная шайба (1 мм))","А","24",""
"78","02562700401620001","Узлы переднего нижнего ползуна","А","2",""
"79","1040000574","Болт","B","4","JB/T5783-2016"
"80","02562700401601011","Регулировочная шайба (1 мм))","А","4",""
"81","02562700401840000","Узлы заднего нижнего ползуна","А","2",""
"82","02562700401440001","Пылезащитная    щетка II","А","2",""
"83","02562700401430001","Пылезащитная    щетка I","А","2",""
"84","02562700400400001","Сварной элемент стрелы второй 
секции","А","1",""
