"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140316331","Шланг в сборе","А","1",""
"2","1140228365","Шланг в сборе","А","1",""
"3","1140260685","Шланг в сборе","А","1",""
"4","1140316326","Шланг в сборе","А","1",""
"5","1140313248","Шланг в сборе","А","1",""
"6","1140313247","Шланг в сборе","А","1",""
"7","1140316328","Шланг в сборе","А","4",""
"8","1140313246","Шланг в сборе","А","1",""
"9","1140256354","Шланг в сборе","А","1",""
"10","1140211269","Шланг в сборе","А","1",""
"11","1140316330","Шланг в сборе","А","1",""
"12","1140245716","Шланг в сборе","А","1",""
"13","1140238301","Шланг в сборе","А","1",""
"14","1140290366","Шланг в сборе","А","1",""
"15","1140203370","Шланг в сборе","А","1",""
"16","1140299173","Шланг в сборе","А","1",""
"17","1140257603","Шланг в сборе","А","1",""
"18","1140316329","Шланг в сборе","А","1",""
"19","1140265161","Шланг в сборе","А","1",""
"20","1140211280","Шланг в сборе","А","1",""
"21","1140207235","Шланг в сборе","А","1",""
"22","1140206940","Шланг в сборе","А","1",""
"23","1140312131","Шланг в сборе","А","1",""
"24","1140223231","Шланг в сборе","А","1",""
"25","1140263467","Шланг в сборе","А","1",""
