"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040000579","Болт","А","6","JB/T5783-2000"
"2","1140115402","Проходной соединитель 
удлинительного конца","А","4","GE18LREDOMDCF- 
L75"
"3","1060300302","Комбинированный прямой 
переходный соединитель","А","1","RED15/08LOMDCF"
"4","1140120194","Прямой удлиненный 
соединитель","А","4","GE15LREDOMDCF- 
L65"
"5","1140103280","Прямой соединитель","А","1","GE22L11/16UNOM 
DA3C"
"6","1140105246","Прямой соединитель","А","1","GE15L7/8UNFOMD 
CF"
"7","1140101632","Прямоугольный композитный 
штуцер","А","4","EW16SOMDCF"
"8","1140101478","Прямоугольный композитный 
штуцер","А","1","EW15LOMDCF"
"9","1149901795","Прямой соединитель","А","2","GE15L11/16UNOM 
DCF"
"10","1040102742","Винт","А","4","ASMEB18.3:2002"
"11","1040102730","Винт","А","4","ASMEB18.3:2002"
"12","1140101630","Полуфланец","B","1","FHS36CFX"
"13","1140101564","Полуфланец","А","1","FHS34CFX"
"14","1140101489","Тройной композитный штуцер","А","1","EL15LOMDCF"
"15","1140107814","Штуцер","А","1","GE08L7/16UNFOM 
DCF"
"16","1140105072","Прямой соединитель","А","2","GE28L11/16UNOM 
DCF"
"17","1040302490","Шайба","B","6","GB/T97.1-2002"
"18","1010002207","Открытый насос","А","1","K2-R-045C-LS-21- 
20-N N-N-3-C2MR- 
A6N-PLB-N NN-"
"19","1010002210","Закрытый насос","А","1","MP1-P-28R-AS- 
NNN-SA4 -C2-F- 
G4-R-C22-N-325 -"
"20","1010002209","Закрытый насос","А","1","MP1-P-28R-AS- 
NNN-SA4 -C2-F- 
G5-R-C22-N-325 -"
