"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040201896","Гайка","А","4","GB/T889.1-2015"
"2","1040300771","Шайба","А","8","GB/T97.1-2002"
"3","1040001640","Болт","А","2","JB/T5783-2000"
"4","02562300100100000","Сварной элемент кронштейна 
фильтра","B","1",""
"5","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","2","GB/T70.1-2000"
"6","02556200101000000","Защитная крышка 
гидровлического клапана 
платформы","B","1",""
"7","1040004653","Болт","А","8","JB/T5783-2000"
"8","1040302512","Шайба","А","8","GB/T96.1-2002"
"9","1040004508","Болт","А","4","JB/T5783-2000"
"10","1040200504","Гайка","А","4","GB/T889.1-2000"
"11","00772700100001020","Каучуковая прокладка","B","2",""
"12","1040302821","Шайба","А","2","GB/T96.1-2002"
"13","1040005852","Болт","А","2","JB/T5787-2000"
"14","02556200101200000","Сварной элемент кронштейна 
гидравлического клапана","C","1",""
"16","02562700100200000","Узел платформы","А","1",""
"17","02555400100400000","Узел кронштейна","E","1",""
