"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040201791","Шестигранная фланцевая гайка","А","4","GB/T6177.2-2000"
"2","00774007131001050","Выхлопная трубаⅠ","B","1",""
"3","1040002458","Болт","А","6","JB/T5783-2000"
"4","00774007141001030","Прижимная планка","А","1",""
"5","1040101153","Винт","А","3","GB/T70.1-1985"
"6","1040200398","Гайка","А","14","GB/T6177.1-2000"
"7","1040302480","Шайба","B","12",""
"8","02552307151020000","Выхлопной кронштейн","А","1",""
"9","1040002281","Болт","А","6","JB/T5783-2000"
"10","00774007141020009","Держатель шумотушителя","А","1",""
"11","00772707101001040","Регулировочная шайба","А","3",""
"12","02561907131001023","Шумотушитель (расширенное 
основание)","А","1",""
"13","00773407151001060","Герметизирующая прокладка","А","2",""
"14","02562707121001010","Выхлопная труба II","А","1",""
"15","1040004619","Болт","А","8","JB/T5783-2000"
"16","1040200503","Гайка","А","4","GB/T889.1-2000"
"17","02551707111001020","Выхлопной хвост  Ⅱ","А","1",""
"18","02551707101001060","Выхлопной хвост","А","1",""
"19","1040301515","Шайба","А","18","GB/T97.1-2002"
"20","1040004520","Болт","А","4","JB/T5783-2000"
