"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1149902020","Проходной соединитель 
удлинительного конца","А","7","GE15LREDOMDCF- 
L120"
"2","1040302490","Шайба","B","4","GB/T97.1-2002"
"3","1140101475","Прямоугольный композитный 
штуцер","А","4","EW08LOMDCF"
"4","1140101484","Тройной композитный штуцер","А","3","ET15LOMDCF"
"5","1140101478","Прямоугольный композитный 
штуцер","А","2","EW15LOMDCF"
"6","1040300054","Шайба","А","4","JB/T93-1987"
"7","1140101632","Прямоугольный композитный 
штуцер","А","4","EW16SOMDCF"
"8","1140101527","Прямой соединитель","А","4","GE16SREDOMDCF"
"9","1140111237","Прямой соединитель","А","5","GE08LREDOMDCF"
"10","1040004644","Болт","А","4","JB/T5783-2016"
"11","1140101464","Прямой соединитель","А","3","GE15LREDOMDCF"
"12","1149900295","Переходное соединение","А","1","ET08LOMDCF"
"13","1060300302","Комбинированный прямой 
переходный соединитель","А","1","RED15/08LOMDCF"
"14","1140101462","Прямой соединитель","А","1","GE12LREDOMDCF"
"15","1140107801","Штуцер","А","1","EV08LOMDCF"
"16","1140101477","Прямоугольный композитный 
штуцер","А","1","EW12LOMDCF"
"17","1011200299","Центрально-вращающееся 
соединение","А","1","ZYZH47A"
