"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004518","Болт","А","18","JB/T5783-2000"
"2","1040303580","Шайба","А","36","GB/T96.1-2002"
"9","1040301031","Шайба","B","20","GB/T96.1-2002"
"14","1040302489","Шайба","B","36","GB/T97.1-2002"
"26","1040004653","Болт","А","7","JB/T5783-2016"
"27","1040004519","Болт","А","5","JB/T5783-2000"
"37","02562700800200001","Сварной элемент поворотной 
платформы","B","1",""
"56","1040301515","Шайба","А","3","GB/T97.1-2002"
"57","1040103205","Винт","А","1","GB/T70.1-2000"
"58","02562700800001050","Стопорный штифт","А","1",""
"59","02562700800001150","Кожух шестерни","А","1",""
"60","00771400801800000","Штифт в сборе","А","1",""
"61","1040007536","Болт","А","1","JB/T5783-2000"
"62","02562700801600000","Кронштейн трубопровода","А","1",""
"63","1040103254","Винт","А","3","GB/T70.1-2000"
"64","02562700800041260","Держатель двойного концевого 
выключателя","А","1",""
"65","00771400800001020","Самосмазывающийся 
подшипник","А","2",""
"66","00773400800001150","Фрикционная накладка","А","1",""
"67","00773400300001200","Стопорный штифт","F","1",""
"68","02562700800041180","Скоба вращающегося 
соединения","А","1",""
"69","00774000800001351","Длинный штифт","А","1",""
"70","02562300810301050","Задняя нижняя упорная планка","А","1",""
