"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004518","Болт","А","18","JB/T5783-2000"
"2","1040303580","Шайба","А","36","GB/T96.1-2002"
"4","1040303581","Шайба","А","6","GB/T96.1-2002"
"7","1040004520","Болт","А","6","JB/T5783-2000"
"8","1040004033","Болт","А","4","JB/T5783-2000"
"9","1040301031","Шайба","B","20","GB/T96.1-2002"
"10","1040004029","Болт","А","12","JB/T5783-2000"
"13","1040004032","Болт","А","9","JB/T5783-2000"
"14","1040302489","Шайба","B","36","GB/T97.1-2002"
"15","1040300771","Шайба","А","26","GB/T97.1-2002"
"17","1040202854","Гайка","А","16","GB/T889.1-2000"
"37","02562700800200001","Сварной элемент поворотной 
платформы","B","1",""
"38","1040102740","Винт","А","2","GB/T70.1-2000"
"39","1040002458","Болт","А","2","JB/T5783-2000"
"40","02562300801000000","Сварная деталь для установки 
фильтра","А","1",""
"41","02562700800001010","Плита для установки застежки 
левого капота","А","1",""
"42","02564300800001010","Монтажная пластина 
соединения","А","1",""
"43","02562700800001130","Монтажная пластина 
аккумулятора","А","1",""
"44","00772500800001191","Прокладка кронштейна I","А","2",""
"45","02562700800001180","Прокладка кронштейна 
двигателя","А","1",""
"46","00772500800001201","Прокладка кронштейна II","А","1",""
"47","00774000800001380","Нажимная плита аккумулятора","А","2",""
"48","00774000800001370","Тяга аккумулятора","А","4",""
"49","00774000800001390","Перегородка для аккумулятора","А","1",""
"50","02562700801200000","Защитный кожух датчика угла 
наклона","А","1",""
"51","1040202861","Гайка","А","1","JB/T6170-2000"
"52","1040004644","Болт","А","1","JB/T5783-2016"
"53","02562300810305000","Гнутая пластина","А","1",""
"54","00773400800001200","Опора переключателя","А","1",""
"55","1040001631","Болт","А","2","JB/T5783-2000"
