"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004518","Болт","А","4","JB/T5783-2000"
"2","1040301515","Шайба","А","4","GB/T97.1-2002"
"3","00771407140801050","Гнутая пластина  Ⅱ","B","1",""
"4","1040004619","Болт","А","2","JB/T5783-2000"
"5","1000100299","Воздушный фильтр","А","1","G070018"
"6","00772707100801040","Впускная труба  Ⅲ","А","1",""
"7","1040302480","Шайба","B","4","GB/T96.1-2002"
"8","1990202290","Хомут спирального червяка","А","2","SX12/W3/70-92"
"9","02562307140801010","Впускной рукав I","А","1",""
"10","00774007130801030","Впускная стальная труба","А","1",""
"11","00771407140801060","Гнутая пластина I","А","1",""
"12","1040200503","Гайка","А","4","GB/T889.1-2000"
"13","1990202288","Хомут спирального червяка","А","3","SX12/W3/45-67"
"14","00774007130801020","Впускная труба  Ⅱ","А","1",""
