"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773400400001020","Подшипник","А","8",""
"2","02562700210001040","Контактный блок","А","2",""
"3","1040001640","Болт","А","4","JB/T5783-2000"
"4","1040303579","Шайба","А","6","GB/T96.1-2002"
"5","1040102778","Винт","А","2","GB/T70.1-2000"
"6","02562700210001010","Штифт  Ⅱ","А","3",""
"7","00773400200001020","Подшипник","B","2",""
"8","02562700210001020","Распорная втулка качающегося 
цилиндра","А","1",""
"9","02562700210001070","Подшипник","А","2",""
"10","00771100210001070","Прокладка I","А","2",""
"11","1010202358","Качающийся цилиндр","А","1","HBM_120/180(H35 
0)"
"12","02562700210001080","Защитный кожух датчика II","А","1",""
"13","00774100200001010","Щиток трубы","C","1",""
"14","1040002433","Болт","А","8","JB/T5783-2000"
"15","00773400300001200","Стопорный штифт","F","8",""
"16","02562300200001010","Плита трубопровода","А","2",""
"17","1040103262","Винт","А","8","GB/T70.3-2000"
"18","1040004522","Болт","А","4","JB/T5783-2000"
"19","1040301515","Шайба","А","4","GB/T97.1-2002"
"20","00773700200001101","Зажимная планка трубопровода","B","2",""
"21","00773700400001140","Подшипник","А","2",""
"22","02562700210800000","Гидроцилиндр консоли","B","1",""
"23","","02562700210001030  Осеп выравнивающего цилиндра","А","1",""
"24","02562700210001060","Штифт","А","2",""
"25","02562700210600000","Нижний шатун","А","2",""
"26","02562700210400000","Верхний шатун","А","1",""
"27","02562700210200000","Опора","А","1",""
