"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040302513","Шайба","А","4","GB/T96.1-2002"
"2","1040004654","Болт","А","4","JB/T5787-1986"
"3","1019901470","Уровнемер-термометр","А","2","FSA-127-1.0/T/10"
"4","1140103362","Прямой соединитель","А","3","GE28LREDOMDCF"
"5","1140111237","Прямой соединитель","А","1","GE08LREDOMDCF"
"6","1140105928","Прямой соединитель","А","1","GE22LR1/2EDOMD 
CF"
"7","1140101464","Прямой соединитель","А","2","GE15LREDOMDCF"
"8","1140101462","Прямой соединитель","А","1","GE12LREDOMDCF"
"9","1149901683","Прямой соединитель","А","1","GE42LREDOMDCF"
"10","1140101629","Резьбовая заглушка","А","1","VSTI3/8EDCF"
"11","1040301515","Шайба","А","8","GB/T97.1-2002"
"12","1040103111","Винт","А","8","GB/T70.1-2000"
"13","00773405200230000","Уплотняющая пластина","А","1",""
"14","1040101492","Винт","А","2","GB/T70.1-2000"
"15","1040302489","Шайба","B","2","GB/T97.1-2002"
"16","1010601139","Обратный масляный фильтр","А","1","RFMON185B 
D10A1.0/-V 300"
"17","1010500489","Воздушный фильтр","А","1","EFB480H150-W"
"18","02562705201620000","Крышка люка","А","1",""
"19","1140101628","Резьбовая заглушка","А","1","VSTI3/4EDCF"
"20","02562705201610001","Корпус масляного бака","А","1",""
