"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"18","00773400130401060","Прокладка III","C","2",""
"19","1040301515","Шайба","А","7","GB/T97.1-2002"
"20","1040200503","Гайка","А","4","GB/T889.1-2000"
"21","02561900110401100","Защитная накладка от падения","B","4",""
"22","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"23","02564400100401031","Пластина хомута","B","4",""
"24","1040103112","Винт","А","7","GB/T70.1-2000"
"25","02555400100401020","Болт","А","8","QC/T340-1999"
"26","1040301511","Шайба","А","3","GB/T97.1-2002"
"27","02564400100401015","Шатун","А","2",""
"28","1040002424","Болт","А","4","JB/T5783-2000"
"29","02564400100401020","Вал","B","4",""
"30","00771400100401081","Болт собственного производства","B","1",""
"32","00773400100401030","Регулировочная шайба","А","2",""
"33","1040302490","Шайба","B","4","GB/T97.1-2002"
"34","02555400100420000","Сварная деталь кронштейна","B","1",""
"35","1040001703","Болт","B","2","JB/T5782-2000"
"36","00773400100401040","Вкладыш","А","1",""
"37","1040006458","Усиленный бол с полукруглой 
головкой квадратным диаметром","А","1","JB/T794-1993"
"38","02555400100410000","Переходный держатель","B","1",""
"39","1040201381","Гайка","А","1","JB/T6170-2000"
"40","1040201111","Гайка","А","1","JB/T889-1986"
