"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"3","1040303580","Шайба","А","38","GB/T96.1-2002"
"4","1040200503","Гайка","А","22","GB/T889.1-2000"
"5","1040004520","Болт","А","10","JB/T5783-2000"
"6","1040103189","Винт","А","8","GB/T70.2-2000"
"7","02562700700401010","Механизм буксируемой цепи","B","1",""
"8","02562700700420000","Кронштейн труб","А","1",""
"9","00774000700201070","Трубный зажим I","C","1",""
"10","00774000700201080","Трубный зажим II","C","1",""
"11","00773700700001030","Гнутая пластина","C","1",""
"12","02561900700201010","Зажимная планка трубопровода","А","1",""
"13","00774000700001120","Трубный зажим III","B","1",""
"14","02562700700410001","Кронштейн I","А","2",""
"15","00774000700201061","Подкладка","А","1",""
"16","1040004522","Болт","А","2","JB/T5783-2000"
"17","1040004675","Болт","А","2","JB/T5782-2000"
