"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"11","1020103955","Узлы разъема контроллера","А","1","R902603622"
"12","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"13","1040300062","Шайба","B","4","JB/T93-1987"
"14","1040300051","Шайба","А","4","GB/T97.1-2002"
"15","1020305634","Реле","А","4","897H-1AH-D1S-R1"
"16","1020103903","Контроллер","B","1","RC28-14/30"
"17","1020303413","Твердотельное реле","А","2","DC60S7"
"18","1022270003","Диодный соединительный зажим","А","3","281-665/281-400"
"19","1029904980","Соединительный зажим","А","9","2004--1301"
"20","1020809446","Направляющая","B","1","RD 35/7.5 B1-CX"
"21","1020700974","Упорная планка","А","2","249--116"
"22","1022290051","Торцевая пластина","B","1","280--315"
"23","1020704265","3-проводная клеммная колодка 
заземления","А","3","2004--1307"
"24","1029904933","Упорная планка","А","1","2004--1392"
"25","1029906870","Клемма предохранителя","А","20","2006-1681.1000-
449"
"26","1020600110","Предохранитель","B","2","287030"
"27","1020600109","Предохранитель","B","2","0287025"
"28","1020600107","Предохранитель","B","2","0287010"
"29","1020602747","Предохранитель","B","3","287020"
"30","1020600074","Предохранитель","B","10","0287010"
"31","1020600116","Предохранитель","B","1","0287003"
"32","1022290054","Закорачивающая плита","А","17","2006--402"
"33","1029905163","Торцевая пластина","А","1","2006--1692"
"34","1020304559","Реле","B","1","788--303"
