"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"119","02562700401001010","Регулировочная шайба","А","48",""
"120","1040303579","Шайба","А","24","GB/T96.1-2002"
"121","1040002738","Болт","А","24","JB/T5783-2000"
"122","1040302489","Шайба","B","32","GB/T97.1-2002"
"123","1040007536","Болт","А","24","JB/T5783-2000"
"124","02562700400001072","Прижимная планка II","А","12",""
"125","1040103254","Винт","А","2","GB/T70.1-2000"
"126","1040200504","Гайка","А","6","GB/T889.1-2000"
"127","1040101997","Винт","А","4","GB/T70.1-2000"
"128","02562700401001240","Направляющий ползун","А","2",""
"129","02562700401090000","Телескопический цилиндр 
башенной стрелы III","B","1",""
"130","02562700401080000","Телескопический цилиндр 
башенной стрелы II","B","1",""
"131","02562700401001092","Ползун","А","1",""
"132","02562700401070000","Телескопический цилиндр 
башенной стрелы I","B","1",""
