"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040009205","Болт","А","40","GB/T 1228-2006"
"2","1040301521","Шайба","А","80","JB/T1230-1991"
"3","1040000347","Болт","А","40","JB/T1228-1991"
"4","1040302502","Шайба","А","24","JB/T1230-1991"
"5","1040002517","Болт","B","24","JB/T5782-2000"
"6","02562700900001010","Монтажная плита редуктора","А","1",""
"7","1040000577","Болт","А","2","JB/T5783-2000"
"8","1031500422","Поворотная опора","А","1","011.45.1250.121.04. 
1 5F1"
"9","1030202553","Поворотный редуктор","А","2","JH17-65-06"
"10","1040302490","Шайба","B","48","GB/T97.1-2002"
"11","1040100038","Винт","А","48","GB/T70.1-2000"
"12","1040201882","Гайка","А","2","JB/T6172-2000"
"13","1040301503","Шайба","А","4","JB/T93-1987"
"14","1040004029","Болт","А","4","JB/T5783-2000"
