"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"13","1040103076","Винт","А","4","GB/T70.3-2008"
"14","1040103980","Винт","B","4","GB/T70.3-2008"
"15","1040103568","Винт","А","2","GB/T70.2-2000"
"16","1040301515","Шайба","А","4","GB/T97.1-2002"
"17","1040103558","Винт","А","2","GB/T70.3-2008"
"18","02562700401801090","Направляющий блок","А","1",""
"19","1040103192","Винт","А","3","GB/70.3-2000"
"20","02562700401801100","Направляющий блок II","А","1",""
"21","1040301033","Шайба","B","1","GB/T97.1-2002"
"22","1040007293","Болт","А","1","JB/T5782-2016"
"23","1040302489","Шайба","B","13","GB/T97.1-2002"
"24","1040004032","Болт","А","13","JB/T5783-2000"
"25","02562700401801010","Регулировочная шайба (1 мм))","А","12",""
"26","02562700401830000","Узлы заднего верхнего ползуна","А","2",""
"27","02562700401820000","Узлы бокового ползуна","А","4",""
"28","00774100400001121","Длинная регулировочная шайба 
I","А","4",""
"29","02562700401840000","Узлы заднего нижнего ползуна","А","2",""
"30","1040007536","Болт","А","2","JB/T5783-2000"
"31","1040302512","Шайба","А","2","GB/T96.1-2002"
"32","1040103114","Винт","А","2","GB/T70.1-2000"
"33","1040302480","Шайба","B","6","GB/T96.1-2002"
"34","1040004517","Болт","А","6","JB/T5783-2000"
"35","00771500800001080","Стопорный штифт","А","1",""
"36","02562700400001011","Шкворень I","А","1",""
"37","02562700400001051","Крышка","А","1",""
"38","02562700401801040","Направляющий блок II","А","1",""
"39","02562700401801022","Контактная плата","А","1",""
"40","02562700400800001","Сварная деталь стрелы 
четвертой секции","А","1",""
