"No.","Material No.","Item and Spec","Qty","Note"
"1","1040005844","Bolt M6×10-A2-70","16","GB/T5783"
"2","1040300771","Washer 6-200HV","16","GB/T97.1"
"3","02564400400001150","Seal plate Ⅰ","1",""
"4","02564400400001140","Seal plate","3",""
"5","1040002433","Bolt","8","GB/T5783"
"6","00773400410001180","Axle stop plate","4",""
"7","02564400400001030","Axle A3","1",""
"8","02564400400001040","Axle A4","1",""
"9","1040102761","Screw M10×20-8.8","4","GB/T70.1"
"10","02564400400001110","Upper 
upright 
side 
guide 
slider","2",""
"11","02564400401800000","Pin assembly","1",""
"12","1040302490","Washer 12-200HV","1","GB/T97.1"
"13","1040002436","Bolt M12×25-8.8","1","GB/T5783"
"14","02564400401000000","Upper upright","1",""
"15","02564400400001010","Axle A1","1",""
"16","00773400200001070","Stop pin","2",""
"17","1040004511","Bolt M12×30-8.8","2","GB/T5783"
"18","00773700400001140","Bearing","4",""
"19","02564400400400000","Link Ⅱ","2",""
"20","00773400400001130","Bearing","8",""
"21","02564400400001050","Axle A5","1",""
"22","00773400400001250","Stop pin","7",""
"23","1040004570","Bolt M16×30-8.8","7","GB/T5783"
"24","02564400400001020","Axle A2","1",""
"25","00773400300001070","Bearing","4",""
"26","02564400400800000","Link Ⅳ","1",""
"27","1040101995","Screw M10×30-8.8-DKL","2","GB/T70.1"
"28","02564400400001130","Cushion block","1",""
"29","00773400300001050","Bearing","10",""
"30","02564400400001060","Axle A6","1",""
