"No.","Material No.","Item and Spec","Qty","Note"
"1","00771600122301250","Limit plate welds I","1",""
"2","1040302410","Washer 4-200HV","4","GB/T97.1"
"3","1040201772","Nut M4-A2-70","4","GB/T6170"
"4","1040103123","Screw M6×30-A2-70","2","GB/T70.2"
"5","00771600122301180","Bumper","1",""
"6","00771600132301080","Connecting plate","2",""
"7","00771600122301230","Bracket IITp3","1",""
"8","1040300735","Washer6-200HV","6","GB/T96.1"
"9","00771600122301260","Limit plate welds IITp2","1",""
"10","1159901036","Spring hinge","2",""
"11","00771600122301190","Limit block","2",""
"12","1040001631","Bolt M6×20-A2-70","4","GB/T5783"
"13","1040002555","Bolt M6×16-A2-70","18","GB/T5783"
"14","00771400112301150","Steel clamp Tp3","2",""
"15","1040300771","Washer 6-200HV","24","GB/T97.1"
"16","00771600122301200","Bracket ITp3","1",""
"17","1040201896","Nut M6-8","12","GB/T889.1"
"18","1040102776","Screw M4×35-8.8","4","GB/T70.1"
