"Item","Part No.","Description","Qty."
"1","00003285","Valve body","1"
"2","00003295","Relief valve (R2)","1"
"3","00003293","Relief valve (R1)","1"
"4","00004595","Relief valve (R3)","1"
"5","00003306","Logic element (Y)","1"
"6","00003299","Sequence valve (K)","1"
"7","00003298","Flow control valve (B)","1"
"8","00003305","Flow control valve (G)","1"
"9","00001073","Plug  VSTI14×1.5ED","4"
"10","00003297","Relief valve (R4)","1"
"11","00003352","Nut","3"
"12","00003320","Coil","3"
"13","00003301","Solenoid valve spool (S4)","2"
"14","00003300","Solenoid valve spool (S7)","1"
"15","00003304","Proportional valve (D)","1"
"16","00003317","Coil","1"
"17","00003355","Nut","1"
"18","00003600","Solenoid valve spool (S2)","1"
"19","00003319","Coil","3"
"20","00003353","Nut","2"
"21","00002998","Plug  SAE4","6"
"22","00003294","Flow control valve (H)","1"
"23","00003292","Logic element (A)","1"
"24","00003351","Plug  SAE8","1"
"25","00003290","Check valve (C2)","2"
"26","00003291","Shuttle valve (I)","1"
"27","00003303","Solenoid valve spool (S1)","1"
"28","00003296","Flow control valve (Z)","1"
