"Item","Part No.","Description","Qty."
"1","10002420","Platform slider","2"
"2","10002611","Inner arm 4","1"
"3","00000623","Nut  GB/T 6182  M10","20"
"4","00001027","Bolt  GB/T 5782  M10×80","16"
"5","00000567","898-38.1×224  Pin","6"
"6","00000438","8813-38.1×44.45×31.75  Bearing","32"
"7","10002447","Spacer sleeve 2","6"
"8","10000254","Washer","16"
"9","00000787","Circlips 
JB/ZQ 4342-38","16"
"10","00000444","8813-38.1×44.45×10  Bearing","4"
"11","10002446","Spacer sleeve 1","2"
"12","10001577","Platform pivot weldment","1"
"13","10019758","Outer arm 4","1"
"14","00000569","898-38.1×689  Pin","10"
"15","00002877","Bolt  QC/T 340  M10×35","3"
"16","10002449","Washer","3"
"17","00000594","895-38.1×190  Pin","3"
"18","10002977","Outer arm 3","1"
"--","10014923","Left single link 3","1"
"--","10014922","Right single link 3","1"
"19","10019745","Inner arm 3","1"
"20","10019741","Outer arm 2","1"
"--","10019743","Left single link 2","1"
"--","10019742","Right single link 2","1"
"21","10002604","Inner arm 2","1"
"22","","Lower lift cylinder assembly (without seal kit)   
(refer to 401.1)","1"
"23","10000446","Hose clamp assembly (refer to 204.1)","1"
"24","10019738","Inner arm 1","1"
