"Item","Part No.","Description","Qty."
"1","10002733","Air cleaner cap","1"
"2","50001583","Clamp","1"
"3","10002737","Air cleaner cap mounting weldment","1"
"4","00000678","Bolt  GB/T 5783  M10×25","5"
"5","00000615","Washer  GB/T 97.1  10","13"
"6","00000623","Nut  GB/T 6182  M10","10"
"7","00004757","Beacon","1"
"","00004594","Beacon (revolving light) (with beacon cover 50000185)","1"
"8","00000774","Screw  GB/T 70.1  M6×20","3"
"9","00000620","Washer  GB/T 97.1  6","19"
"10","00001033","Nut  GB/T 6182  M6","19"
"11","10002695","Switch protection plate","1"
"12","00000605","Washer  GB/T 97.1  5","18"
"13","00000613","Nut  GB/T 6182  M5","8"
"14","00001250","Screw  GB/T 818  M5×16 - H","4"
"15","00000655","Power switch","1"
"16","00000607","Screw  GB/T 818  M5×12 - H","2"
"17","00000606","Washer  GB/T 93  5","2"
"18","00000612","Screw  GB/T 818  M5×20 - H","4"
"19","10002679","Engine tray weldment","1"
"20","10000537","Half-round batten","2"
"21","00000743","Bolt  GB/T 5783  M6×20","13"
"22","","Radiator shroud assembly (refer to 118.1)","1"
"23","00002583","Washer  GB/T 96.1  6","10"
"24","00000610","Nut  GB/T 6170  M8","4"
"25","00000609","Washer  GB/T 93  8","4"
"26","00000608","Washer  GB/T 97.1  8","4"
"27","10002762","Battery keeper bar","1"
"28","10002763","Threaded rod","2"
