"Item","Part No.","Description","Qty."
"1","00003647","Hose assembly","1"
"2","00003648","Hose assembly","1"
"3","00003649","Hose assembly","1"
"4","00003650","Hose assembly","2"
"5","00003651","Hose assembly","2"
"6","00004585","Hose assembly","1"
"7","00003653","Hose assembly","2"
"8","00003654","Hose assembly","6"
"9","00003613","Elbow","8"
"10","00001262","Straight fitting","5"
"11","00002103","Tee fitting","2"
"12","00001239","Tee fitting","4"
"13","00001834","Elbow","5"
"14","00002137","Straight fitting","4"
