"Item","Part No.","Description","Qty."
"1","00002312","Bolt  GB/T 5782  M6×45","6"
"2","10003031","Roller support","6"
"3","00001033","Nut  GB/T 6182  M6","6"
"4","10003032","Roller","6"
"5","00000818","Bolt  GB/T 5783  M6×16","12"
"6","00002000","Washer  GB/T 96.1  8","2"
"7","00004430","Nut  GB/T 62.1  M8","2"
"8","10002687","Inner shroud","1"
"9","00001163","Nut  GB/T 6182  M8","2"
"10","00000608","Washer  GB/T 97.1  8","4"
"11","10002686","Outer shroud","1"
"12","00002488","Bolt  GB/T 5783  M8×35","2"
