"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","00775800300001190","Диванная  подушка","3",""
"2","00775802800001360","Охранник  уровня","1",""
"3","1040104082","Винт  М6×12-8,8","4","ГБ/Т70.1-2000"
"4","1040301610","Шайба  6","4","ГБ/Т93-1987"
"5","1040300771","Шайба  6-200ХВ","12","ГБ/Т97.1-2002"
"6","1040104080","Винт  М5×12-8,8","3","ГБ/Т70.1-2000"
"7","1040007501","Болт  М6×40-8,8","5","ГБ/Т5783-2000"
"8","1021404523","Уровень","1",""
"9","00775802800001330","Уровневая  пружина","3",""
"10","00775802800001320","Монтажная  пластина  уровня","1",""
"11","00775802802600000","Левая  крышка  кузова(cid:0)","1","ГБ/Т889-1986"
"12","007758028A3100000","Шайба  16-300ХВ","2","ГБ/Т96.1-2002"
"13","1040301023","Лестница","1",""
"14","1040004496","Болт  М16×45-10,9","1","ГБ/Т5783-2000"
"15","1040303579","Шайба  6","2","ГБ/Т96.1-2002"
"16","00775802800001350","Буферное  кольцо  двери","2",""
"17","1040201896","Гайка  М6-8","6","ГБ/T889.1-2000"
"18","1040202857","Гайка  М12-10","2","ГБ/T889.1-2000"
"19","1040004029","Болт  М12×35-10,9","2","ГБ/Т5782-2000"
"20","1040104100","Винт  М4×12","8","ГБ/Т818-2000"
"21","1999905631","Петля","1",""
"22","00775802800001380","Пластина","1",""
"23","1040201772","Гайка  М4-А2-70","8","ГБ/Т6170-2000"
"24","00771101103201020","Губка  бар","1",""
"25","1109800044","Замок  язычкового  типа","1",""
"26","00775802804200000","Левая  крышка  кузова  I","1",""
"27","1101000131","Замок  панели","1",""
"28","1040104104","Винт  М6×20-8,8","4","ГБ/Т818-2000"
