"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"26","00775800300001240","Ось  II","10",""
"27","1040303158","Стопорное  кольцо  58","20",""
"28","00775800300001230","Прокладка","19",""
"29","1054400315","Композитный  куст","40",""
"30","00775800300001080","Распорка","20",""
"31","1040004644","Болт  М12×45-10,9","4","ГБ/Т5782-2000"
"32","1040202857","Гайка  М12-8","4","ГБ/T889.1-2000"
"33","00775800300001030","Ось  III","4",""
"34","1054400363","Композитный  куст","8",""
"35","1040001640","Болт  М6×25-8,8","6","ГБ/Т5783-2000"
"36","1040201896","Гайка  М6-8","6","ГБ/T889.1-2000"
"37","00775800100001140","Стоп-штифт","6",""
"38","00775800300001060","Вал  муфты  с  прорезью","6",""
"39","00775800300001040","Длинная  навесная  ось","1",""
"40","00775800300001160","Предельный  блок  I","1",""
"41","00775800300001220","Ограничительный  блок  II","1",""
"42","1040300154","Подшипник  25","1","ГБ/Т894.1-1986"
"43","1040202856","Гайка  М10-8","16","ГБ/T889.1-2000"
"44","1040004033","Болт  М10×25-10,9","6","ГБ/Т5783-2000"
"45","1040303581","Шайба  10-300ХВ","2","ГБ/Т96.1-2002"
"46","1040007509","Болт  М10×50-10,9","1","ГБ/Т5782-2000"
"47","1040007220","Болт  М10×80-10,9","1","ГБ/Т5782-2000"
"48","00775800300001150","Кронштейн  датчика  ограничения","1",""
