"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040202297","Гайка  М16×1,5-10","18","ГБ/Т6177.2-2000"
"2","1030800838","Шина","1",""
"3","1040004029","Болт  М12×35-10,9","4","ГБ/Т5782-2000"
"4","1040301503","Шайба  12","4","ГБ/Т93-1987"
"5","1040302490","Шайба  12-200ХВ","8","ГБ/Т97.1-2002"
"6","00773400200001070","Стоп-штифт","4",""
"7","00775802800001280","Контакт  III","2",""
"8","00773402800001110","Прокладка  поворотного  кулака","2",""
"9","00773400200001020","Несущий","4",""
"10","1030202175","Редуктор","2",""
"11","00775802800400000","Поворотный  кулак  я","1",""
"12","00773402800001320","Верхняя  прокладка  поворотного  кулака","2",""
"13","00775802800001460","Контакт  II","2",""
"14","1054400336","Композитный  куст","8",""
"15","00775802800001290  Соединительный  палец  плавающего  цилиндра  II","","2",""
"16","00775600000001050","Шарнирный  штифт","4",""
"17","1040301515","Шайба  8-200ХВ","14","ГБ/Т97.1-2002"
"18","1040301510","Шайба  8","8","ГБ/Т93-1987"
"19","1040004519","Болт  М8×25-8,8","4","ГБ/Т5783-2000"
"20","00775802800001270","Соединительный  штифт  плавающего  цилиндра","2",""
"21","1010201676","Плавающий  цилиндр","2",""
"22","1040004496","Болт  М16×45-10,9","1","ГБ/Т5783-2000"
"23","00773400400001250","Стоп-штифт","1",""
"24","00775802800001260","Соединительный  штифт  плавающего  моста","1",""
"25","00773402800001070","Несущий","2",""
