"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"31","00775805200220000","Резиновая  прокладка  крышки","1",""
"32","1010500489","Воздушный  фильтр","1",""
"33","00775805204610000","Масляный  бак","1",""
"34","1019901354","Термометр  уровня  жидкости","1",""
"35","1140101487","Тройник  комбинированный  M16×1,5","4",""
"36","1140101707","Концевая  прямая  муфта  G3/4/M30×2","2",""
"37","1140101941","Концевая  прямая  муфта  G3/8/M16×1,5","2",""
"38","1140103362","Концевая  прямая  муфта  G1/M36×2","2",""
"39","1140107416","Торцевая  заглушка  с  внутренним  шестигранником  G1/2A","1",""
"40","1140101482","Угловой  составной  стык  М20×1,5","8",""
"41","1140101524","Концевая  прямая  муфта  G1/2/M20×1,5","8",""
"42","1140115883","Разъем  с  наружной  резьбой","1",""
"43","1010306021","ходовой  разделительный  клапан","1",""
"44","1140114899","Конечная  прямая  муфта","1",""
"45","1010307588","клапан  управления  ходом","1",""
"46","1140101475","Комбинированное  соединение  под  прямым  углом","3",""
"47","1019900975","Затыкать","2",""
"48","1140103016","Концевая  прямая  комбинированная  муфта","1",""
"49","1010307006","Клапан  управления  подъемом","1",""
"50","1140111291","Тройное  комбинированное  соединение","2",""
"51","1040100059","Винт  М10×20-8,8","4","ГБ/Т70.1-2008"
"52","1140114187","Напорные  соединения","3",""
"53","1140101464","Концевая  прямая  муфта  G1/2/M22×1,5","1",""
"54","1010003029","Вспомогательный  насос","1",""
"55","1010307007","Балансировочный  клапан  подъемного  цилиндра","1",""
"56","1140101534","Угловой  составной  стык  М30×2","4",""
"57","1140101523","Концевая  прямая  муфта  G3/4/M30×2","2",""
"58","1140101461","Соединитель  с  наружной  резьбойG3/8/M16×1,5","2",""
"59","1010307008","Балансировочный  клапан  подъемного  цилиндра","1",""
"60","1140114627","Соединитель  с  наружной  резьбойG3/8/M16×1,5","2",""
