"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"27","00775807120601080","Выходная  трубка  I","1",""
"28","1990202282","Зажим  штока  турбины","2",""
"29","00775807120601020","Труба  подачи  воды","1",""
"30","00775807120601100","Выходная  трубка  II","1",""
"31","00773407150601040","мокрое  возвращение  я","1",""
"32","00773407140601070","Соединитель  II","1",""
"33","00773407150601050","Мокрое  возвращение  II","1",""
"34","00775807121001020","Выхлопная  труба  я","1",""
"35","00773407151001060","Уплотнительная  прокладка","1",""
"36","00775807121001010","Глушитель","1",""
"37","00773407151001070","Лайнер","2",""
"38","00775807101001130","Термозащитное  покрытие  (cid:0)","1",""
"39","00775807121010000","Кронштейн  глушителя","1",""
"40","00775807101001080","Выхлопная  труба","1",""
"41","00775807100401010","Топливный  бак  в  сборе","1",""
"42","1000000894","Дизельный  двигатель  
(WEICHAI  WP3.2G50E317A)","1",""
"","1000001151","Дизельный  двигатель(WEICHAI  
WP3.2G50E433)","1",""
"43","1009901161","Эластичная  муфта  в  сборе","1",""
"44","1040101777","Винт  М14×20","3","ГБ/Т70.1-2008"
"45","00773407150201080","Коулпер  крышка","1",""
"46","1040101492","Винт  М10×25","12","ГБ/Т70.1-2008"
"47","00775807120201010","Изгибающая  пластина  I","2",""
"48","1040302489","Шайба  10-200ХВ","16","ГБ/Т97.1-2002"
"49","1040004584","Болт  М10×30","16","ГБ/Т5783-2000"
"50","1040003912","Болт  М16×120","4","ГБ/Т5783-2000"
"51","1040302492","Шайба  16-200ХВ","4","ГБ/Т97.1-2002"
"52","00773407150201060","Гибка  пластины  III","1",""
"53","00773407150201041","Гибка  пластины  II","1",""
"54","1001500061","Амортизатор  двигателя","4",""
"55","1009900979","Амортизатор  двигателя","4",""
"56","00773407100201050","Базовая  плита","4",""
"57","1040200161","Гайка  М16-8","4","ГБ/Т889-1986"
