"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"60","1140114627","Конечная  прямая  муфта","4",""
"61","1140112820","Конечная  прямая  муфта","2",""
"62","1010100908","Ходовой  двигатель","2",""
"63","1040301503","Шайба  12","4","ГБ/Т93-1987"
"64","1040006277","Болт  М12×30-10,9","4","ГБ/Т16674.1-2004"
"65","1140114622","Локтевой  регулируемый  направленный  шарнир","2",""
"66","1140101737","Угловой  составной  стык  M36×2","1",""
"67","1010001908","Шестеренчатый  насос","1",""
"68","1140114045","Соединение  гидравлической  трубы  M22×1,5-G3/4","1",""
"69","1140101476","Угловой  составной  стык  М16×1,5","2",""
"70","1140114623","Конечная  прямая  муфта","2",""
"71","1140112828","Конечная  прямая  муфта","1",""
"72","1140103421","Конечная  прямая  муфта","2",""
"73","1010002352","Закрытый  насос","1",""
"74","1140111770","Конечная  прямая  муфта","1",""
"75","1140105936","Конечная  прямая  муфта","1",""
"76","1010800175","Аккумулятор","1",""
"77","1140103016","Концевая  прямая  комбинированная  муфта","1",""
