"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"34  00775802800001170","","Кронштейн  крепления  аккумулятора","2",""
"35","1040101643","Винт  М6×30-8,8","4","ГБ/Т70.1-2000"
"36","1040101846","Винт  М4×10-8,8","2","ГБ/Т70.1-2000"
"37","1029906635","светодиодная  вспышка","1",""
"38","1029906206","Защитное  покрытие","1",""
"39","1040004519","Болт  М8×25-8,8","4","ГБ/Т5783-2016"
"40  00775802800001410","","Кронштейн  фильтра  заливки  масла","1",""
"41","1020521277","Главный  выключатель  питания","1",""
"42","1040104104","Винт  М6×20-8,8","8","ГБ/Т818-2000"
"43","1101000131","Замок  панели","2",""
"44  00775802816600000","","Правая  крышка  бака  (cid:0)","1",""
"45","1101000162","Петля","4",""
"46","1040001640","Болт  М6×25-8,8","25  ГБ/T5783-2000",""
"47","00775802807610000","Правая  рама  бака
(КУБОТА  V2403-M-DI-ET04)","1",""
"","00775802807810000","Правая  рама  бака
(КУБОТА  V2403-CR-EW02)","1",""
"48","1040302490","Шайба  12-200ХВ","8","ГБ/Т97.1-2002"
"49","1040301503","Шайба  12","8","ГБ/Т93-1987"
"50","1040004028","Болт  М12×25-10,9","8","ГБ/Т5783-2000"
"51  00775802800001190","","Выходная  труба  -  верхняя  крепежная  пластина","1",""
"52","1040006017","Винт  М6×25-8,8","4","ГБ/Т70.1-2000"
"53  00775802803200000","","Выходная  труба  -  кронштейн","1",""
"54","1040007537","Болт  М6×50-8,8","1","ГБ/Т5782-2000"
"55  00775802816900000","","Блочная  база","1",""
"56","1040103333","Винт  М6×12-8,8","1","ГБ/Т70.3-2000"
"57  00775800100001150","","Блокировать","1",""
"58  00775802807620000","","Сварка  кронштейна  двигателя  (Kubota)","1",""
"59  00775802807601010","","Кронштейн  основания  блока","1",""
"60","1040004518","Болт  М8×20-8,8","2","ГБ/Т5783-2000"
"61","1040301510","Шайба  8","2","ГБ/Т93-1987"
"62  00775802800001430","","Крышка  двигателя","1",""
"63  00773400830201020","","перегородка","1",""
