"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"17","1990202287","Спиральный  зажим  штока  турбины","8",""
"18","00773407140601060","Соединитель  I","1",""
"19","00775807100601180","Выходная  трубка","1",""
"20","00775807100601201","Труба  подачи  воды","1",""
"21","1990202282","Зажим  штока  турбины","2",""
"22","00773407100601130","Губка","1",""
"23","1000200483","Сборка  радиатора","1",""
"24","00773407140601040","мокрое  возвращение  я","1",""
"25","00773407140601070","Соединитель  II","1",""
"26","00773407140601050","Мокрое  возвращение  II","1",""
"27","1040200170","Гайка  М12-8","4","ГБ/Т889-1986"
"28","1040302821","Шайба  12","4","ГБ/Т96.1-2002"
"29","1040002262","Болт  М12×55-10,9","4","ГБ/Т5783-2000"
"30","00775807100601070","Гибка  пластины  III","1",""
"31","00773407100601140","Базовая  плита","6",""
"32","1040302490","Шайба  12","4","ГБ/Т97.1-2002"
"33","00775807101001061","Выхлопная  труба  I  (КУБОТА
V2403-M-DI-ET04)","1",""
"","00775807111001010","Выхлопная  труба  I  (КУБОТА
V2403-CR-EW02)","1",""
"34","00773407151001060","Уплотнительная  прокладка  (KUBOTA
только  V2403-M-DI-ET04)","1",""
"35","00775807101001010","Глушитель  (KUBOTA  V2403-
только  M-DI-ET04)","1",""
"36","00775807101001080","Выхлопная  труба","1",""
"37","00775807101001070","Выхлопная  труба  (KUBOTA  V2403-
М-ДИ-ET04)","1",""
"","00775807111001070","Выхлопная  труба  (KUBOTA  V2403  -
CR-EW02)","1",""
"38","00775807101001130","Теплозащитное  покрытие  I
(КУБОТА  V2403-M-DI
только  ET04)","1",""
