"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","00775807111001070","Выхлопная  труба","1",""
"2","00775807120801060","Двусторонний  зажим","1",""
"3","00775807120801050","Впускная  стальная  труба  II","1",""
"4","1990202290","Спиральный  зажим  штока  турбины","4",""
"5","00775807120801040","Впускная  труба  III","1",""
"6","1000100391","Воздушный  фильтр  в  сборе","1",""
"7","1990202288","Спиральный  зажим  штока  турбины","2",""
"8","00775807120801010","Впускная  трубка  I","1",""
"9","00775807120801020","Впускная  стальная  труба  
(WEICHAI  WP3.2G50E317A)","1",""
"","00775807140801010","Впускная  стальная  труба  
(WEICHAI  WP3.2G50E433)","1",""
"10","00771107121001060","Двусторонний","1",""
"11","00773407150801040","зажим  Гибочная  пластина  
(WEICHAI  WP3.2G50E317A)","1",""
"","00775807140801040","Гибочная  пластина  (WEICHAI  
WP3.2G50E433)","1",""
"12","00773407150801021","Впускной  патрубок  (cid:0)(WEICHAI  
WP3.2G50E317A)","1",""
"","00775807140801020","Впускной  патрубок  (cid:0)(WEICHAI  
WP3.2G50E433)","1",""
"13","00775807120601030","Пластина  для  гибки","1",""
"14","00771107190601040","I  Пластина  для  гибки  (cid:0)","1",""
"15","00775807120601040","Табличка  II","1",""
"16","00775807120601050","Лобовое  стекло","1",""
"17","00773407150601120","Тарелка  I","1",""
"18","1000300908","Сборка  радиатора","1",""
"19","00773407100601140","Базовая  плита","6",""
"20","00773407100601130","Губка","1",""
"21","00773407150601131","Табличка  III","1",""
"22","1000300735","Расширительный  бак","1",""
"23","1990202279","Зажим  штока  турбины","4",""
"24","00771107190601030","Резервуар  для  воды  -  Монтажная  пластина","1",""
"25","1990202287","Спиральный  зажим  штока  турбины","8",""
"26","00773407140601060","Соединитель  I","1",""
