"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","00775807100801060","Заборный  шланг  (КУБОТА
V2403-M-DI-ET04)","1",""
"","00775807110801050","Заборный  шланг  (КУБОТА
V2403-CR-EW02)","1",""
"2","1990202290","Спиральный  зажим  штока  турбины","2",""
"3","1000100391","Воздушный  фильтр  в  сборе
(КУБОТА  V2403-M-DI
только  ET04)","1",""
"4","00775807100801020","Впускной  патрубок  I  (КУБОТА
V2403-M-DI-ET04)","1",""
"","00775807110801020","Впускной  патрубок  I  (КУБОТА
V2403-CR-EW02)","1",""
"5","1990202288","Спиральный  зажим  штока  турбины","3",""
"6","00775807100801040","Впускная  стальная  труба  (KUBOTA
V2403-M-DI-ET04)","1",""
"","00775807110801040","Впускная  стальная  труба  (KUBOTA
V2403-CR-EW02)","1",""
"7","00775807100801030","Впускной  патрубок  II  (КУБОТА
V2403-M-DI-ET04)","1",""
"","00775807110801031","Впускной  патрубок  II  (КУБОТА
V2403-CR-EW02)","1",""
"8","00775807100601140","Табличка  III","1",""
"9","00775807100601120","Тарелка  I","1",""
"10","00775807100602010","Ветрозащита  (КУБОТА
V2403-M-DI-ET04)","1",""
"","00775807110602010","Ветрозащита  (КУБОТА
V2403-CR-EW02)","1",""
"11","00775807100601230","Монтажная  пластина  I","1",""
"12","00775807100601150","Табличка  IV","1",""
"13","00775807100601111","Монтажная  пластина  резервуара  для  воды","1",""
"14","1000300735","Расширительный  бак","1",""
"15","00775807100601160","Гибочная  пластина  VI","1",""
"16","00775807100601190","Выходная  трубка  I","1",""
