"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","00775800300400000","Внутренний  рычаг-ножницы  I","1",""
"2","00775800300200000","Внешний  ножничный  рычаг  I","1",""
"3","00775800300600000","Внешний  ножничный  рычаг  II","1",""
"4","00775800300800000","Внутренний  ножничный  рычаг  II","1",""
"5","00775800301200000","Внутренний  ножничный  рычаг  III","1",""
"6","00775800301000000","Внешний  ножничный  рычаг  III","2",""
"7","00775800301400000","Внутренний  ножничный  рычаг  IV","1",""
"8","00775800301800000","Внутренний  ножничный  рычаг  V","1",""
"9","00775800301600000","Внешний  ножничный  рычаг  V","1",""
"10","00775800300001180","Слот  IV","1",""
"11","00775800300001170","Слот  3","1",""
"12","00775800302200000","Ссылка  на  сайт","4",""
"13","00775800303000000","Сварка  слота  II","2",""
"14","00775800302800000","Слот  I  Сварка","2",""
"15","1040003970","Болт  1/2-13UNC-35-8.8","24","ГБ/Т5783-2000"
"16","1040301503","Шайба  12","24","ГБ/Т93-1987"
"17","1040302490","Шайба  12-200ХВ","24","ГБ/Т97.1-2002"
"18","00773400200001070","Стоп-штифт","28",""
"19","00775800300001010","Ось  I","24",""
"20","1054400367","Композитный  куст","24",""
"21","1040004619","Болт  М8×35-8,8","4","ГБ/Т5782-2000"
"22","1040202855","Гайка  М8-8","4","ГБ/T889.1-2000"
"23","00775800300001210","Стоп-штифт","4",""
"24","00775800300001050","Короткая  ось  шатуна","3",""
"25","1054400313","Композитный  куст","29",""
