"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040004518","Болт  М8×20-8,8","32","ГБ/Т5783-2000"
"2","1040301510","Шайба  8","32","ГБ/Т93-1987"
"3","1040301515","Шайба  8-200ХВ","32","ГБ/Т97.1-2002"
"4","00775802801040000","Сварка  капота  аутригера","4",""
"5","00775802801001070","Прозрачный  шпон  II","4",""
"6","00775802801080000","Сварка  уплотнительной  пластины","4",""
"7","1040004032","Болт  М10×20-10,9","24","ГБ/Т5783-2016"
"8","1040301502","Шайба  10","24","ГБ/Т93-1987"
"9","1040302489","Шайба  10-200ХВ","24","ГБ/Т97.1-2002"
"10","00775802801001060","Прозрачная  пластина  I","4",""
"11","00775802801001050","Предельная  пластина","4",""
"12","1010201637","Цилиндр  аутригера","4",""
"13","1040202858","Гайка  М16-10","16","ГБ/Т889-1986"
"14","1040301016","Шайба  16-300ХВ","16","ГБ/Т97.1-2002"
"15","00775802801001040","Болт  крепления  цилиндра","16",""
"16","00775802801060000","Стад","4",""
"17","1040202855","Гайка  М8-8","4","ГБ/T889.1-2000"
"18","1020521448","Концевой  выключатель","2",""
"19","1040102372","Болт  М6×20-8,8","8","ГБ/Т70.1-2000"
"20","1040301610","Шайба  6","24","ГБ/Т93-1987"
"21","1040300771","Шайба  6-200ХВ","24","ГБ/Т97.1-2002"
"22","00775802801001030","Монтажная  пластина  переключателя  хода","4",""
"23","1040104082","Болт  М6×12-8,8","16","ГБ/Т70.1-2000"
"24","00775802801001020","Крышка","4",""
"25","1040006219","Болт  М20×70-10,9С","4","ГБ/Т1228-2006"
"26","1040007542","Болт  М20×85-10,9С","32","ГБ/Т1228-2006"
"27","1040302502","Шайба  20","36","ГБ/Т1230-1991"
"28","1040202439","Гайка  М20-10","36","ГБ/Т6177.1-2000"
"29","00775802800001010","Монтажная  пластина  выносных  опор","4",""
"30","00775802800001020","Монтажная  пластина  выносных  опор","4",""
