"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040004029","Болт  М12×35-10,9","48","ГБ/Т5782-2000"
"2","1040302490","Шайба  12-200ХВ","96","ГБ/Т97.1-2002"
"3","1040202857","Гайка  М12-8","48","ГБ/T889.1-2000"
"4","1040201896","Гайка  М6-8","40","ГБ/T889.1-2000"
"5","1040300771","Шайба  6-200ХВ","46","ГБ/Т97.1-2002"
"6","1040006017","Винт  М6×25-8,8","12","ГБ/Т70.1-2000"
"7","00775800110001070","Монтажная  пластина  ролика  I","4",""
"8","1040101643","Винт  М6×30-8,8","4","ГБ/Т70.1-2000"
"9","00775800110002400","Стоп-штифт","4",""
"10","00775800110002300","Нейлоновый  блок","8",""
"11","1040200506","Гайка  М6-8","26","ГБ/T889.1-2000"
"12","00775800100001080","Контакт  II","4",""
"13","00775800100001070","Ролик  III","4",""
"14","1052500006","Несущий","20","ГБ/Т  276-1994"
"15","00775800100001200","Прокладка  I","10",""
"16","00775800300001010","Ось  (cid:0)","6",""
"17","1040004029","Болт  М12×35-10,9","24","ГБ/Т5783-2000"
"18","1040301503","Шайба  12","24","ГБ/Т93-1987"
"19","1040302490","Шайба  12-200ХВ","96","ГБ/Т97.1-2002"
"20","00773400200001070","Стоп-штифт","24",""
"21","1054400367","Композитный  куст","24",""
"22","00775800302101030","База","24",""
"23","00775800302101020","Ребристая  пластина","24",""
"24","00775800300201030","Соединительная  труба","6",""
"25","00775800302001010","Нижний  выдвижной  блок","8",""
"26","00775800302101010","Базовая  плита","8",""
"27","00775800302001020","Верхний  выдвижной  блок","8",""
"28","00775800302101040","Соединительная  пластина","48",""
"29","1040103981","Винт  М8×45-8,8","96","ГБ/Т70.3-2000"
"30","1040301515","Шайба  8-200ХВ","24","ГБ/Т97.1-2002"
"31","1040202855","Орех","24","ГБ/T889.1-2000"
"32","00775800302101050","Нижняя  установочная  пластина","24",""
