"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","00775307080402040","Метка  -  сохранить  операцию
и  руководство  по  технике  безопасности","1",""
"2","00775307010402010","Этикетка-  Правила  безопасности","1",""
"3","00775207010403070","Опасность  –  опасность  опрокидывания","1",""
"4","00775307080202090","Этикетка  -  точка  крепления  стропа","16",""
"5","00775307080402030","Этикетка  –  прочтите  инструкцию","2",""
"6","00775807010401100  Опасность  –  опасность  раздавливания(cid:0)Ограждение","","4",""
"7","00775307040401040","Опасность  –  опасность  раздавливания","4",""
"8","00775307040401050","Этикетка-  рука  безопасности","2",""
"9","00775807010201080","Этикетка-Держитесь  подальше  от  аутригеров","4",""
"10","00775807010201070","Этикетка-аутригеры  нагрузки","4",""
"11","00775807010201120","Метка-заголовок","4",""
"12","00775807010401140","Этикетка  -  нагрузка  на  колеса","4",""
"13","00775807010201170","Запрещенный  топтать","1",""
"14","00775807010401110  Этикетка  обслуживания  отделения","","2",""
"15","00775807000201160","Этикетка-4×4","2",""
"16","00775307080202010","Этикетка  —  крепление  и  подъем","4",""
"17","00775807010201130","Номинальная  нагрузка","1",""
"18","00775307080402120","Опасность  –  опасность  раздавливания","1",""
"19","00775307080402170","Этикетка  -  максимальное  ручное  усилие","1",""
"20","00775307080402110","Главный  выключатель  питания","1",""
