"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"39","00775807101010000","Опорная  пластина  (КУБОТА
только  V2403-M-DI-ET04)","1",""
"40","1009900968","Эластичная  муфта  в  сборе","1",""
"41","00773407140201010","Коулпер  крышка","1",""
"42","1000000867","Дизельный  двигатель  (КУБОТА
V2403-M-DI-ET04)","1",""
"","1000000939","Дизельный  двигатель  (КУБОТА
V2403-CR-EW02)","1",""
"43","00775807100201040","Гибка  пластины  IV","1",""
"44","1040200161","Гайка  М16-8","4","ГБ/Т889-1986"
"45","1009900979","Амортизатор  двигателя","8",""
"46","00773407100201050","Базовая  плита","4",""
"47","1040302492","Шайба  16","4","ГБ/Т97.1-2002"
"48","1040003912","Болт  М16×120-10,9-ДКЛ","4","ГБ/Т5783-2000"
"49","00775807100201030","Гибка  пластины  III","1",""
"50","1009901074","Масловодяной  сепаратор
(КУБОТА  V2403-M-DI
только  ET04)","1",""
"51","00775807100401260","Пластина  гибочная  (КУБОТА
только  V2403-M-DI-ET04)","1",""
"52","1990200692","Лента  с  пластиковым  покрытием","3",""
"53","00775807100401010","Топливный  бак  в  сборе","1",""
