"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"21","00775800104600000","Ограждение  IV","1",""
"22","00775800104000000","Ограждение  я","1",""
"23","00775800104400000","Ограждение  III","1",""
"24","00775800104200000","Ограждение  II","1",""
"25","00775800104800000","Платформенные  ворота","1",""
"26","00775800105000000","Гибочная  стойка","2",""
"27","1040301610","Шайба  6","8","ГБ/Т93-1987"
"28","1040001640","Болт  М6×25-8,8","8","ГБ/Т5783-2000"
"29","00775800100001050","Монтажная  пластина  тележки  I","4",""
"30","1040101643","Винт  М6×30-8,8","4","ГБ/Т70.1-2000"
"31","00775800100001130","Нейлоновый  блок","8",""
"32","00775800100001140","Стоп-штифт","4",""
"33","00775800100001200","Прокладка  I","6",""
"34","1052500006","Подшипник  6004-2RS","8","ГБ/Т  276-1994"
"35","00775800100001070","Тележка  III","4",""
"36","00775800100001080","Контакт  II","4",""
"37","1040006017","Винт  М6×25-8,8","12","ГБ/Т70.1-2000"
"38","1040502051","D-штифт  8×70","9",""
