"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"26","00775802800800000","Сварка  переднего  моста","1",""
"27","1030800839","Шина","1",""
"28","1040002438","Болт  М12×40-10,9","4","ГБ/Т5783-2016"
"29","1040202857","Гайка  М12-10","4","ГБ/T889.1-2000"
"30","00775802801700000","Трубная  опора  II","1",""
"31","1040301016","Шайба  16-300ХВ","12","ГБ/Т97.1-2002"
"32","1040101819","Винт  М16×40-10,9","12","ГБ/Т70.1-2000"
"33","1040004033","Болт  М10×25-10,9","6","ГБ/Т5783-2000"
"34","1040301502","Шайба  10","6","ГБ/Т93-1987"
"35","1040302489","Шайба  10-200ХВ","6","ГБ/Т97.1-2002"
"36","00775802800001250","Стоп-штифт","6",""
"37","00775802800001240","Пин  I","6",""
"38","1054400340","Композитный  куст","6",""
"39","00775802804400000","Рулевое  звено","1",""
"40","1010201636","Рулевой  цилиндр","2",""
"41","1040004520","Болт  М8×30-8,8","4","ГБ/Т5783-2000"
"42","1040202855","Гайка  М8-8","4","ГБ/T889.1-2000"
"43","00775802800001310","Плита  для  прессования  труб","2",""
"44","1040102372","Винт  М6×20-8,8","2","ГБ/Т70.1-2000"
"45","1040201896","Гайка  М6-8","2","ГБ/T889.1-2000"
"46","00775802800001470","Трубный  зажим","2",""
"47","00775802801600000","Трубная  опора","1",""
