"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1140101477","Трубка  к  вертлюгу  M18×1,5","11",""
"2","1140207362","Разъем  с  наружной  резьбой","2",""
"3","1010601369","Масляный  фильтр","1",""
"4","1040300061","Шайба  10","8","ГБ/Т97.1-2002"
"5","1040300067","Шайба  10","4","ГБ/Т93-1987"
"6","1040000116","Болт  М10×20-8,8","4","ГБ/Т5783-2016"
"7","1010601137","Фильтр  высокого  давления","1",""
"8","1140114403","Трубка  поворотная  M22×1,5","1",""
"9","1140101820","Разъем  с  наружной  резьбой","3",""
"10","1140101478","Трубка  поворотная  M22×1,5","8",""
"11","1040301515","Шайба  8","18","ГБ/Т97.1-2002"
"12","1040301510","Шайба  8","18","ГБ/Т93-1987"
"13","1040004519","Болт  М8×25-8,8","18","ГБ/Т5783-2000"
"14","1140108904","Соединитель  М30-М30","5",""
"15","1140115851","Соединитель  с  длинным  штифтом","2",""
"16","1010400309","Радиатор","1",""
"17","1040200503","Гайка  М8-8","4","ГБ/T889.1-2000"
"18","1040300066","Шайба  8","4","ГБ/Т97.1-2002"
"19","1040300063","Шайба  8","28","ГБ/Т93-1987"
"20","1040000689","Болт  М8×35-8,8","4","ГБ/Т5782-2000"
"21","1140101462","Мужской  жеребец
разъемG3/8/M18×1,5","10",""
"22","1010307105","Соленоидный  клапан","4",""
"23","1040102034","Винт  М8×60-10,9","24","ГБ/Т70.1-2000"
"24","1140107801","Соединитель","2",""
"25","1140111237","Разъем  с  наружной  резьбой","7",""
"26","1140113796","Комбинированный  разъем","3",""
"27","1010307050","Поплавковый  балансировочный  клапан","2",""
"28","1010601341","Возвратный  масляный  фильтр","1",""
"29","1140111518","Соединитель","2",""
"30","00775805204611040","Крышка","1",""
