"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040502050","D-штифт  8×53","2",""
"2","00775800100001170","Ограничить  блокировку","2",""
"3","1040004596","Болт  М8×50-8,8","2","ГБ/Т5782-2000"
"4","1040202855","Гайка  М8-8","17","ГБ/T889.1-2000"
"5","00775800100001190","Квадратный  штекер","2",""
"6","00775800101800000","Ограждение  II","1",""
"7","00775800102000000","Ограждение  III","1",""
"8","00775800101600000","Ограждение  я","1",""
"9","1040502051","D-штифт  8×70","2",""
"10","1999904986","Коробка  для  хранения","1",""
"11","1040104080","Винт  М5×12-8,8","4","ГБ/Т70.1-2000"
"12","1040300514","Шайба  5-200ХВ","4","ГБ/Т97.1-2002"
"13","1040201904","Гайка  М5-8","4","ГБ/T889.1-2000"
"14","1040007538","Болт  М8×65-8,8","9","ГБ/Т5782-2000"
"15","1040301515","Шайба  8-200ХВ","31","ГБ/Т97.1-2002"
"16","1040104027","Винт  М8×65-8,8","1","ГБ/Т70.1-2000"
"17","00775800100001030","Зажим","1",""
"18","00775800102400000","Натяжной  захват","1",""
"19","00775800102800000","рулевая  тяга","1",""
"20","00775800100400000","Нижние  компоненты","1",""
