"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"21","00775807010401060","Опасность-ошпаривание","1",""
"22","00775307080402130","Предоперационный  осмотр","1",""
"23","00775807000201060","Метка-ключ  переключатель","1",""
"24","00775807000201170","Этикетка-Страхование","5",""
"25","00775807000401200","Этикетка-Запуск  при  низкой  температуре","1",""
"26","00775807010401040","Запрещено  на  воде","2",""
"27","00775807010401190","Опасно  –  взрывоопасно(cid:0)","1",""
"28","00775807010401030","Гидравлический  масляный  бак","1",""
"29","00775407000201110","Этикетка-уровень  жидкости","1",""
"30","00775807010401010","Дизельный  бак","1",""
"31","00775807010201020","Заполните  по  инструкции","1",""
"32","00775307080402060","Опасность  –  взрыво-  и  пожароопасность","1",""
"33","00775807010401160","Запретное  прикосновение","1",""
"34","00775807010401050","Отключение  аккумулятора","1",""
