"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040202855","Гайка  М8-8","31","ГБ/T889.1-2000"
"2","1040004596","Болт  М8×50-8,8","4","ГБ/Т5782-2000"
"3","1040502050","D-штифт  8×53","4",""
"4","00775800100001170","Ограничить  блокировку","4",""
"5","1040007538","Болт  М8×75-8,8","8","ГБ/Т5782-2000"
"6","1040301515","Шайба  8-200ХВ","36","ГБ/Т97.1-2002"
"7","1040201896","Гайка  М6-8","36","ГБ/T889.1-2000"
"8","1040300771","Шайба  6-200ХВ","44","ГБ/Т97.1-2002"
"9","1040007503","Болт  М6×60-8,8","12","ГБ/Т5783-2000"
"10","1101000163","Пружинный  шарнир","2",""
"11","00775602800001180","Катушка  2","2",""
"12","00775800103000000","Верхняя  направляющая","4",""
"13","1040004029","Болт  М12×35-10,9","48","ГБ/Т5782-2000"
"14","1040202857","Гайка  М12-8","48","ГБ/T889.1-2000"
"15","1040302490","Шайба  12-200ХВ","96","ГБ/Т97.1-2002"
"16","00775800103400000  Кронштейн  тяги  ножничного  рычага","","2",""
"17","1040302489","Шайба  10-200ХВ","8","ГБ/Т97.1-2002"
"18","1040301502","Шайба  10","8","ГБ/Т93-1987"
"19","1040007536","Болт  М10×35-10,9","8","ГБ/Т5783-2000"
"20","00775800100200000","Нижние  компоненты","1",""
