"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040001680","Болт  М10×30-8,8","8","ГБ/Т5783-2016"
"2","1040300061","Шайба  10","12","ГБ/Т97.1-2002"
"3","00775802803800000","Кронштейн  аварийного  насоса","1",""
"4","1040200504","Гайка  М10-8","6","ГБ/T889.1-2000"
"5","00775802800001370","Накладка  I","1",""
"6","1040300051","Шайба  6","12","ГБ/Т97.1-2002"
"7","1040300062","Шайба  6","12","ГБ/Т93-1987"
"8","1040000096","Болт  М6×12-8,8","12","ГБ/Т5783-2000"
"9","00775802803600000","Левая  рама  кузова","1",""
"10","00775802800001480","Нижняя  накладка  левого  корпуса","1",""
"11","007758028A2200000","Рама-  верхняя  фиксирующая  пластина
сварка","1",""
"12","1040000018","Болт  М8×30-8,8","8","ГБ/Т5783-2000"
"13","1040300066","Шайба  8","16","ГБ/Т97.1-2002"
"14","00775802800001340","Ходячая  монтажная  пластина","1",""
"15","1040200503","Гайка  М8-8","8","ГБ/T889.1-2000"
"16","00775802800001490","Накладка  II","1",""
"17","1040000288","Болт  М8×25-8,8","4","ГБ/Т5783-2000"
"18","1020304979","Выключатель","5",""
"19","1020202167","Сборка  наземного  управления","1",""
"20","00775802800001210","Кронштейн  плавающего  клапана  тормоза","1",""
"21","1040301697","Шайба  4","4","ГБ/Т97.1-2002"
"22","1040300044","Шайба  4","4","ГБ/Т93-1987"
"23","1029804041","Винт  М4×25-4,8","4","ГБ/Т70.1-2000"
"24","1040201860","Гайка  М10","2","КК/Т608-2011"
"25","00775802804000000","Монтажная  плата  управления","1",""
"26","00775606300201030","Прокладка  ключевого  переключателя","1",""
"27","1020520943","Ключ  зажигания","1",""
"28","1020502039","Головка  кнопки  аварийной  остановки","1",""
