"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"21","1040103117","Болт  М8×75-8,8","3","ГБ/Т5782-2000"
"22","00775800102601030","Нейлоновая  прокладка","5",""
"23","00775800100001200","Прокладка  I","2",""
"24","1040300167","Шайба  20","2","ГБ/Т894.1-1986"
"25","00775800102610000","Сварка  кронштейна  тележки","1",""
"26","00775800102601020","Тележка  I","2",""
"27","1052500006","Подшипник  6004-2RS","4","ГБ/Т  276-1994"
"28","00775800102601040","Контакт  III","1",""
"29","1040202856","Гайка  М10-10","2","ГБ/T889.1-2000"
"30","1040302489","Шайба  10-200ХВ","4","ГБ/Т97.1-2002"
"31","1040000574","Болт  М10×30-12,9","2","ГБ/Т5783-2016"
"32","00775800100001090","Боковое  ограждение  дополнительной  платформы","2",""
"33","00775800100001110","Резиновая  прокладка","4",""
"34","1040201674","Гайка  М8-8","2","ГБ/Т13681-1992"
"35","1040004520","Болт  М8×30-8,8","4","ГБ/Т5783-2000"
"36","00775800103801020","Изгибающая  пластина  I","1",""
"37","00775800103801030","Гибка  пластины  II","1",""
"38","00775800103801010","Зубной  блок","2",""
"39","1040104095","Винт  М8×40-8,8","2","ГБ/Т70.3-2000"
