"НЕТ.","№  материала","Товар  и  спецификация","Единицы","Примечание"
"1","1040006459","Болт  М16×50-10,9","1","ГБ/Т5783-2016"
"2","1040301016","Шайба  16-300ХВ","2","ГБ/Т97.1-2002"
"3","1040007536","Болт  М10×35-10,9","2","ГБ/Т5783-2000"
"4","1040302489","Шайба  10-200ХВ","9","ГБ/Т97.1-2002"
"5","00775802803400000","Фиксирующая  пластина  лотка","1",""
"6","1040202856","Гайка  М10-10","2","ГБ/T889.1-2000"
"7","1040202858","Гайка  М16-10","1","ГБ/T889.1-2000"
"8","00775802816600000","Правая  крышка  бака  (cid:0)","1",""
"9","1040104095","Винт  М8×40-8,8","2","ГБ/Т70.3-2000"
"10","00775802800001080","Лоток  блок","1",""
"11","00775802800001150","Регулируемая  подушка","5",""
"12","1040102598","Винт  М6×16-8,8","4","ГБ/Т70.1-2000"
"13","1040301610","Шайба  6","4","ГБ/Т93-1987"
"14","1040300771","Шайба  6-200ХВ","95","ГБ/Т97.1-2002"
"15","00775802800001050","Крышка  заливного  отверстия  охлаждающей  жидкости","1",""
"16","00771101103201020","Губка","1",""
"17","1040004033","Болт  М10×25-10,9","5","ГБ/Т5783-2000"
"18","1040301502","Шайба  10","5","ГБ/Т93-1987"
"19","00773400300001200","Стоп-штифт","1",""
"20","00773400300001210","Несущий","2",""
"21","00775802800001420","Ось  поддона","1",""
"22","00773400801400000","Заглушка  лотка","1",""
"23","00775802800001030","Фрикционная  пластина","1",""
"24","1040004520","Болт  М8×30-8,8","4","ГБ/Т5783-2000"
"25","1040303580","Шайба  8-300ХВ","2","ГБ/Т96.1-2002"
"26","1040301515","Шайба  8-200ХВ","14","ГБ/Т97.1-2002"
"27","1040202855","Гайка  М8-8","8","ГБ/T889.1-2000"
"28","00775802816700000","Сиденье  дверного  замка","1",""
"29","1040007503","Болт  М6×60-8,8","1","ГБ/Т5782-2000"
"30","00775802800001350","Буферное  кольцо  двери","2",""
"31","1040201896","Гайка  М6-8","42","ГБ/T889.1-2000"
