"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040000076","Bolt M6×25-8.8","2","GB/T5783-2000"
"2","1040300062","Washer 6","8","GB/T93-1987"
"3","1040300051","Washer 6-200HV","8","GB/T97.1-2002"
"4","1109900766","Battery door lock","1",""
"5","00775602801601040","Protecting bush II","1",""
"6","00775702800620000","Battery Tray box 
(ZS1414DC/HA/AC)","1",""
"","00775602801620000","Battery Tray box 
(ZS1212DC/HA/AC 
ZS1012DC/HA/AC 
ZS0812DC/HA)","1",""
"7","00775602801601010","Coil III","1",""
"8","1029907622","Vehicle-mounted battery 
charger","1",""
"9","1020521277","Main power switch","1",""
"10","1040000267","Bolt M8×20-8.8","2","GB/T5783-2000"
"11","1040300063","Washer 8","2","GB/T93-1987"
"12","1040300066","Washer 8-200HV","5","GB/T97.1-2002"
"13","00775602801601070","Middle plate 
(ZS1414DC/HA/AC 
ZS1212DC/HA/AC)","1",""
"","00775502800220000","Middle plate 
(ZS1012DC/HA/AC 
ZS0812DC/HA)","1",""
"14","1040201078","Nut M8","2","GB/T6170-2000"
"15","1020999050","Battery","4",""
