"NO.","Material No.","Item and Spec","Units","Remark"
"21","00775602800001040","End cover","2",""
"22","1040200503","Nut M8-8","1","GB/T889.1-2000"
"23","1990201348","Cover plate","1",""
"24","1019901543","Twin tube clamp","1",""
"25","1990201778","Twin tube clamp","1",""
"26","1040100501","Screw M8×100-8.8","1","GB/T70.1-2000"
"27","1040005784","Bolt M12×1.5×35-8.8","10","GB/T16674.2-2004"
"28","00775302830001010","Brake cover","1",""
"29","1020202270","Brake Module","1",""
"30","00775302830001020","Resistance cover","2",""
"31","1020605470","Braking resistor","2",""
