"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775400102800000","Lower components","1",""
"2","1040101640","Screw M3×10-A2-70","2","GB/T818-2000"
"3","1040201166","Nut M3-A2-70","4","GB/T6170-2000"
"4","1040000469","Bolt M6-8","12","GB/T889.1-2000"
"5","1040300066","Washer 8","34","GB/T97.1-2002"
"6","1040200503","Nut M8-8","16","GB/T889.1-2000"
"7","00775400101600000","Cranked link","2",""
"8","1040000156","Bolt M8×60-8.8","6","GB/T5782-2000"
"9","00775400100800000","Guard rails II","1",""
"10","1040200867","Nut M5","6","GB/T889.1-2000"
"11","00775606300801010","Power mounting plate","1",""
"12","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"13","00775406640200000","Platform AC assembly","1",""
"14","1100400025","D Pin 6.3×55","2",""
"15","00775400102400000","Guard rails mounting  
base II","1",""
"16","00775400102200000","Guard rails III","1",""
"17","00775400100400000","Guard rails I","1",""
"18","00775600101800000","Platform gate","1",""
"19","1101000163","Spring hinge","2",""
"20","1040200506","Nut M6-8","12","GB/T889.1-2000"
"21","1040300051","Washer 6","24","GB/T97.1-2002"
"22","1040001185","Bolt M6×50-8.8","12","GB/T5783-2000"
"23","00775400102000000","Guard rails mounting  
base I","1",""
"24","00775600102200000","Mounting pulley assembly","2",""
"25","00775600100001020","Gasket I","2",""
"26","00775600102400000","Platform pin mounting 
base","2",""
"27","1040102718","Screw M8×50","8","GB/T70.1-2000"
