"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102356","Screw M8×25-8.8","8","GB/T70.3-2000"
"2","00775602800601010","Limited post","1",""
"3","00775602800601030","Cushion rubber","1",""
"4","1040100519","Screw M12×80-8.8","1","GB/T70.1-2000"
"5","1040300054","Washer 12","1","GB/T93-1987"
"6","00775606300201030","Key switch gasket","1",""
"7","00775602801601040","Protecting bush II","1",""
"8","00775702870210000","Hydraulic Tray box 
  (ZS1414AC)","1",""
"","00775602860210000","Hydraulic Tray box 
(ZS1212/1012AC)","1",""
"9","1020005472","Hydraulic pump drive motor 
24V,3.3KW","1",""
"10","1040300067","Washer 10","2","GB/T93-1987"
"11","1040004607","Bolt3/8-24UNF-1-10","2","ASME B18.2.1-2010"
"12","1010001904","Gear pump 5cc","1","5cc-PGP511A0050 
AA1H2ND4D3B1B1"
"13","00775602800601020","Motor support","1",""
"14","1040200867","Nut M5","4","GB/T889.1-2000"
"15","1040300048","Washer 5-200HV","6","GB/T97.1-2002"
