"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040000156","Bolt M8×60","14","GB/T5783-2000"
"2","1040300066","Washer 8","28","GB/T97.1-2002"
"3","1040200503","Nut M8-8","14","GB/T889.1-2000"
"4","00775400101800000","Lower components","1",""
"5","00775400101400000","Cranked link","4",""
"6","00775400100600000","Guard rails I","1",""
"7","00775400101200000","Guard rails III","1",""
"8","1999904986","Storage box","1",""
"9","1040102341","Screw M5×12-8.8","4","GB/T70.1-2000"
"10","1040300048","Washer 5","4","GB/T97.1-2002"
"11","1040200867","Nut M5","4","GB/T889.1-2000"
"12","1100400025","D PIN 6.3×55","2",""
"13","00775400101000000","Guard rails II","1",""
"14","1040000114","Bolt M10×25","2","GB/T5783-2000"
"15","1040300067","Washer 10","2","GB/T93-1987"
"16","1040300061","Washer 10","2","GB/T97.1-2002"
"17","00775600100800000","Pedal","1",""
"18","00775600102600000","Pulley assembly","2",""
"19","00775600100001020","Gasket I","2",""
"20","1040102718","Screw M8×50","8","GB/T70.1-2000"
"21","00775600102400000","Platform pin mounting 
base","2",""
