"NO.","Material No.","Item and Spec","Units","Remark"
"1","1020104201","Motor driver","1",""
"2","1109900765","Hydraulic door lock","1","1109900765"
"3","1040300051","Washer 6-200HV","8","GB/T97.1-2002"
"4","1040300062","Washer 6","8","GB/T93-1987"
"5","1040000076","Bolt M6×25-8.8","2","GB/T5783-2000"
"6","1020605230","Flat fuse","1",""
"7","1020604246","Fuse holder","1",""
"8","1040100620","Screw M6×16","4","GB/T818-2000"
"9","1040300048","Washer 5-200HV","6","GB/T97.1-2002"
"10","1040300060","Washer 5","2","GB/T93-1987"
"11","1040102341","Screw M5×12-8.8","2","GB/T70.1-2000"
"12","1020304603","Contactor","1",""
"13","1040200506","Nut M6-8","2","GB/T889.1-2000"
