"Item","Part No.","Description","Qty."
"1","10002074","Left extension rail","1"
"2","00002573","Nut  GB/T 6183.1  M5","4"
"3","50000555","Manual box","1"
"4","10000709","Front rail","1"
"5","00000706","Platform control box assembly (refer to 306.1)","1"
"6","10000390","Platform control box mount bracket","1"
"","10001715","Platform control box mount bracket (with cover)","1"
"7","00001986","Screw  GB/T 818  M6×16 - H","4"
"8","00002523","Screw  GB/T 973  M5×16","4"
"9","10001178","Inserted pin","2"
"10","00001991","Rivet  GB/T 12618.4  4.8×16","2"
"11","00002571","Bolt  GB/T 16674  M8×55","6"
"12","00002575","Nut  GB/T 6183.1  M8","6"
"13","00002570","Bolt  GB/T 16674  M10×60","8"
"14","00002572","Nut  GB/T 6183.1  M10","8"
"15","10000703","Right extension rail","1"
"16","10002072","Lower extension rail","2"
"17","10002079","Extension deck weldment","1"
"18","10000333","Platform locking device assembly (refer to 305.1)","1"
"19","00002875","Bolt  QC/T 340  M8×20","2"
"20","00000887","Circlips  GB/T 893.1-47","2"
"21","00001295","Bearing  GB/T 276-1994 - 6204","2"
"22","10002032","Roller","2"
"23","10000046","Slide pad","2"
"24","00000821","Screw  GB/T 70.3  M5×12","8"
"25","10000307","Roller bracket","2"
"26","00001155","Screw  GB/T 70.3  M8×55","8"
"27","10000376","Bumper","2"
