"Item","Part No.","Description","Qty."
"29","00000220","8902-10080  Pin","3"
"30","00002877","Bolt  QC/T 340  M10×35","8"
"31","10000251","Sensor cover (JCPT1012HD/DC-CE)","1"
"32","00000695","Angle sensor (JCPT1012HD/DC-CE)","1"
"33","00001054","Screw  GB/T 70.1  M4×12 (JCPT1012HD/DC-CE)","2"
"34","00000778","Washer  GB/T 97.1  4 (JCPT1012HD/DC-CE)","2"
"35","00000779","Washer  GB/T 93  4 (JCPT1012HD/DC-CE)","2"
"36","10000261","Line bridge","2"
"37","10000260","Safety arm bushing","2"
"38","10000259","Safety arm","2"
"39","00002887","Bolt  QC/T 340  M10×25","3"
"40","00000565","898-38.1×198.5  Pin","2"
"41","00000822","Screw  GB/T 70.3  M5×16","4"
"42","10000258","Collar","4"
"43","10000736","Outer arm 3","1"
"44","10000264","Block","24"
"45","00002098","896B-38.1×146  Pin","4"
"46","00002884","Bolt  GB/T 16674  M10×100","2"
"47","10000252","Platform slider","4"
"48","00002572","Nut  GB/T 6183.1  M10","14"
