"Item","Part No.","Description","Qty."
"1","00002187","Hose assembly","2"
"2","00002188","Hose assembly","2"
"3","00002189","Hose assembly","1"
"4","00002190","Hose assembly","1"
"5","00002191","Hose assembly","1"
"6","00002192","Hose assembly","1"
"7","00002193","Hose assembly","1"
"8","00002194","Hose assembly","1"
"9","00002195","Hose assembly","1"
"10","00002196","Hose assembly","1"
"11","00002197","Hose assembly","1"
"12","00002198","Hose assembly","1"
"13","00002199","Hose assembly","1"
"14","00001282","Straight fitting","5"
"15","00001264","Straight fitting","3"
"16","00001291","Straight fitting","5"
"17","00001769","Straight fitting","5"
"18","00001771","Straight fitting","4"
"19","00001508","Straight fitting","2"
"20","00001835","Elbow","4"
"21","00001776","Straight fitting","2"
"22","10000466","Fitting","1"
"23","00001292","Straight fitting","2"
"24","00001238","Tee fitting","1"
"25","00001833","Elbow","1"
"26","00001073","Plug  VSTI14×1.5ED","3"
