"Item","Part No.","Description","Qty."
"1","00000814","Washer  GB/T 97.1  12","17"
"2","00000815","Washer  GB/T 93  12","17"
"3","00002059","Bolt  GB/T 5783  M12×30","9"
"4","10001973","Engine bracket","1"
"5","10021943","Shim plate","1"
"6","00001063","Bolt  GB/T 5783  M8×16","2"
"7","00000609","Washer  GB/T 93  8","2"
"8","00000608","Washer  GB/T 97.1  8","2"
"9","10003875","Wire clip","1"
"10","10003967","Hose","1"
"11","50001592","Clamp","10"
"12","00009626","Engine","1"
"--","00004718","Starter motor","1"
"--","00004717","Alternator","1"
"--","10003947","Filter element, oil filter","1"
"--","00004721","Coolant temperature switch","1"
"--","00004720","Oil pressure switch","1"
"--","00004719","Coil","1"
"--","00001046","Fan belt","1"
"--","10003948","Fan","1"
"13","","Fuel system assembly (refer to 117.1)","1"
"14","10016813","Shim plate","1"
"15","10001974","Engine bracket","1"
"16","00000816","Bolt  GB/T 5783  M12×25","4"
"17","","Fuel filter assembly (refer to 115.2)","1"
"18","00001043","Washer  GB/T 97.1  14","7"
"19","00001258","Washer  GB/T 93  14","7"
"20","00001259","Bolt  GB/T 5783  M14×30","5"
"21","10001978","Engine bracket","1"
