"Item","Part No.","Description","Qty."
"1","00000520","Air cleaner","1"
"2","00000606","Washer  GB/T 93  5","14"
"3","00001246","Screw  GB/T 70.1  M5×16","8"
"4","10003598","Cover weldment","1"
"5","00000743","Bolt  GB/T 5783  M6×20","16"
"6","00000621","Washer  GB/T 93  6","32"
"7","00000620","Washer  GB/T 97.1  6","32"
"8","10003595","Rubber pad","1"
"9","00001252","Screw  GB/T 70.1  M5×12","4"
"10","00000605","Washer  GB/T 97.1  5","10"
"11","10014141","Clamp","2"
"12","00002246","Bolt  GB/T 5783  M5×12","2"
"13","10013555","Keeper bar","1"
"14","00002153","Tank cover","1"
"15","00002154","Filter web","1"
"16","00001873","Level gauge","1"
"17","10014367","Hydraulic tank weldment","1"
"18","00000745","Bolt  GB/T 5783  M6×12","4"
"19","00001074","Plug  VSTI16×1.5ED","1"
"20","00000519","Suction filter","2"
"21","00001536","O-ring  As568A 82.22×2.62","2"
"22","50001437","Flange","2"
"23","00000619","Bolt  GB/T 5783  M6×25","12"
"24","00001837","Elbow","2"
"25","00002071","Straight fitting","6"
"26","00003111","Hydraulic power unit","1"
"--","00004726","Pump","1"
"--","00004729","Motor","1"
"--","00004730","DC Contactor","1"
