"Item","Part No.","Description","Qty."
"29","00002046","Bolt  GB/T 5783  M12×35","16"
"30","","Support roller assembly (refer to 303.2)","2"
"31","10004111","Adjusting plate","4"
"32","","Side roller assembly (refer to 304.1)","8"
"33","","Support roller assembly (refer to 303.2)","2"
"34","10016138","Main deck weldment","1"
"35","10004125","Extension deck lock tooth","1"
"36","00002865","Bolt  QC/T 340  M6×14","10"
"37","10004208","Left main rail","1"
"38","10000302","Hinge B","2"
"39","10000299","Hinge A","2"
"40","00002569","Bolt  GB/T 16674  M6×55","18"
